id_agente,id_habilidad
1,1
2,6
2,4
3,2
4,6
4,4
5,3
5,4
6,2
6,4
7,1
7,4
8,6
8,4
9,3
9,4
10,2
10,4
10,5
11,2
11,4
12,1
13,3
14,1
14,4
14,5
15,3
15,4
15,1
16,3
17,6
18,2
18,4
19,2
20,2
20,4
21,1
21,4
22,6
22,4
22,5
23,2
23,4
23,5
24,2
24,4
24,3
25,1
25,4
25,3
26,6
26,4
26,2
27,1
28,3
29,2
29,4
29,3
30,1
30,4
30,3
31,3
32,6
32,4
32,1
33,2
33,4
34,3
34,4
35,3
35,4
36,6
36,4
36,5
37,1
37,4
38,1
38,4
39,2
39,4
39,5
40,1
40,4
40,6
41,3
41,4
41,6
42,2
43,3
43,4
44,2
44,4
45,2
45,4
45,6
46,2
46,4
47,1
48,3
48,4
49,1
50,3
51,6
51,4
51,2
52,2
52,4
53,1
53,4
53,6
54,3
54,4
55,2
56,3
56,4
56,2
57,6
57,4
58,3
59,3
59,4
60,3
60,4
60,1
61,2
61,4
62,1
62,4
62,5
63,6
63,4
63,2
64,2
64,4
65,3
65,4
66,3
66,4
67,3
67,4
68,1
68,4
69,6
69,4
70,2
71,2
71,4
71,1
72,1
72,4
72,3
73,2
73,4
74,3
74,4
75,6
76,2
76,4
76,1
77,2
77,4
78,1
79,3
79,4
80,1
80,4
81,3
81,4
81,5
82,2
82,4
83,3
84,3
84,4
84,2
85,1
85,4
86,3
86,4
87,1
87,4
88,3
88,4
89,1
89,4
90,6
90,4
90,5
91,1
92,1
93,2
93,4
94,1
94,4
94,3
95,1
95,4
96,3
96,4
97,6
97,4
98,2
98,4
99,1
99,4
100,2
101,3
101,4
102,3
102,4
102,5
103,2
104,6
104,4
104,5
105,6
105,4
105,2
106,3
106,4
107,2
108,3
109,3
110,3
110,4
111,6
111,4
112,2
112,4
112,3
113,3
113,4
114,3
114,4
114,2
115,2
115,4
115,5
116,2
116,4
117,2
118,3
119,3
119,4
120,3
120,4
120,5
121,2
121,4
122,1
123,3
123,4
124,2
125,1
125,4
126,6
127,2
127,4
128,1
129,1
129,4
129,5
130,1
130,4
131,1
132,1
132,4
133,1
133,4
134,2
134,4
135,6
135,4
136,3
136,4
137,6
137,4
137,3
138,3
138,4
139,3
140,3
140,4
141,3
141,4
142,1
142,4
143,2
143,4
144,6
144,4
145,1
145,4
146,1
147,6
147,4
147,5
148,1
148,4
148,5
149,3
149,4
149,5
150,1
150,4
151,2
151,4
151,1
152,1
153,3
153,4
153,2
154,3
155,6
155,4
156,3
156,4
157,3
157,4
158,1
158,4
159,1
159,4
160,2
160,4
160,5
161,3
161,4
162,6
162,4
162,2
163,3
163,4
164,2
164,4
165,6
165,4
166,2
166,4
166,6
167,6
167,4
168,3
169,6
169,4
170,1
170,4
170,3
171,2
171,4
172,1
172,4
172,3
173,2
173,4
173,3
174,2
174,4
175,1
175,4
176,2
177,6
178,3
178,4
179,2
179,4
179,3
180,2
180,4
