id_caso,id_cliente,id_tipo_servicio,id_motivo,descripcion_caso,fecha_apertura,fecha_cierre,estado_caso,resuelto_primer_contacto,prioridad
1,11964,5,15,Caso 1 asociado a motivo 15,2025-11-12 11:36:57,2025-11-26 20:36:57,cerrado,1,baja
2,11825,4,10,Caso 2 asociado a motivo 10,2025-11-18 11:50:01,,en_proceso,0,media
3,27250,3,8,Caso 3 asociado a motivo 8,2025-12-05 08:12:42,2025-12-18 15:12:42,cerrado,1,media
4,16423,2,5,Caso 4 asociado a motivo 5,2026-03-22 17:51:12,,en_proceso,0,media
5,1012,2,4,Caso 5 asociado a motivo 4,2025-12-05 14:53:36,,en_proceso,0,media
6,2663,2,5,Caso 6 asociado a motivo 5,2025-10-27 13:36:50,2025-11-15 20:36:50,cancelado,0,baja
7,930,5,13,Caso 7 asociado a motivo 13,2026-02-12 09:07:03,2026-02-20 13:07:03,cerrado,1,baja
8,29689,5,13,Caso 8 asociado a motivo 13,2025-11-22 14:24:25,2025-12-03 14:24:25,cerrado,0,critica
9,1119,1,1,Caso 9 asociado a motivo 1,2025-12-31 20:13:16,2026-01-05 20:13:16,cerrado,1,baja
10,20963,5,14,Caso 10 asociado a motivo 14,2026-02-23 15:41:52,2026-02-23 21:41:52,cerrado,1,baja
11,7890,1,3,Caso 11 asociado a motivo 3,2025-12-19 14:30:10,2026-01-08 01:30:10,cerrado,1,media
12,17533,4,11,Caso 12 asociado a motivo 11,2025-12-11 12:00:59,2025-12-24 15:00:59,cerrado,1,baja
13,22750,5,14,Caso 13 asociado a motivo 14,2025-11-05 17:29:10,,en_proceso,0,alta
14,18529,3,8,Caso 14 asociado a motivo 8,2025-11-07 10:13:50,,en_proceso,0,media
15,15589,2,5,Caso 15 asociado a motivo 5,2026-04-01 12:03:03,,en_proceso,0,media
16,13698,3,8,Caso 16 asociado a motivo 8,2025-12-05 06:10:41,2025-12-22 11:10:41,cerrado,1,baja
17,3266,5,13,Caso 17 asociado a motivo 13,2025-12-12 15:10:28,2025-12-20 22:10:28,cerrado,1,media
