id_factura,id_cliente,numero_factura,fecha_emision,fecha_vencimiento,valor_total,estado_factura
1,1,FAC-202510-0000001,2025-10-03,2025-10-13,45108,pagada
2,1,FAC-202511-0000002,2025-11-07,2025-11-24,41262,pagada
3,1,FAC-202603-0000003,2026-03-23,2026-04-06,50073,pagada
5,1,FAC-202512-0000005,2025-12-04,2025-12-14,82593,pagada
7,1,FAC-202601-0000007,2026-01-03,2026-01-21,121505,en_mora
8,1,FAC-202603-0000008,2026-03-09,2026-03-23,110022,pagada
9,2,FAC-202601-0000009,2026-01-06,2026-01-24,32556,pagada
10,2,FAC-202510-0000010,2025-10-12,2025-10-30,76139,vencida
11,2,FAC-202511-0000011,2025-11-15,2025-11-25,69897,pagada
12,2,FAC-202512-0000012,2025-12-02,2025-12-12,84050,pagada
13,3,FAC-202510-0000013,2025-10-08,2025-10-25,36530,pagada
15,3,FAC-202602-0000015,2026-02-04,2026-02-21,44168,vencida
16,4,FAC-202510-0000016,2025-10-19,2025-11-06,71192,vencida
17,4,FAC-202511-0000017,2025-11-23,2025-12-04,71403,pagada
18,4,FAC-202512-0000018,2025-12-11,2025-12-22,68461,pagada
19,4,FAC-202602-0000019,2026-02-15,2026-03-05,62799,pagada
20,4,FAC-202603-0000020,2026-03-19,2026-03-29,70627,pendiente
21,5,FAC-202510-0000021,2025-10-08,2025-10-27,55928,vencida
22,5,FAC-202511-0000022,2025-11-23,2025-12-11,49249,pagada
23,5,FAC-202603-0000023,2026-03-19,2026-04-05,57242,pagada
24,6,FAC-202510-0000024,2025-10-14,2025-11-02,42440,pagada
25,6,FAC-202510-0000025,2025-10-05,2025-10-22,50720,pendiente
26,6,FAC-202511-0000026,2025-11-20,2025-12-02,63682,pagada
27,6,FAC-202601-0000027,2026-01-23,2026-02-07,65236,pendiente
28,6,FAC-202604-0000028,2026-04-01,2026-04-14,61457,pagada
29,6,FAC-202602-0000029,2026-02-02,2026-02-20,21815,pagada
30,6,FAC-202604-0000030,2026-04-09,2026-04-23,26959,en_mora
31,7,FAC-202510-0000031,2025-10-08,2025-10-22,160614,pagada
32,7,FAC-202511-0000032,2025-11-05,2025-11-15,145844,pendiente
33,7,FAC-202602-0000033,2026-02-08,2026-02-27,160040,pagada
34,7,FAC-202603-0000034,2026-03-16,2026-04-03,159598,pagada
35,8,FAC-202510-0000035,2025-10-14,2025-11-01,26980,pagada
36,8,FAC-202602-0000036,2026-02-18,2026-03-05,32370,en_mora
37,8,FAC-202604-0000037,2026-04-06,2026-04-18,25806,pagada
38,9,FAC-202510-0000038,2025-10-13,2025-10-25,27577,pagada
39,9,FAC-202510-0000039,2025-10-07,2025-10-17,92166,pagada
40,9,FAC-202601-0000040,2026-01-06,2026-01-18,91368,pagada
41,10,FAC-202510-0000041,2025-10-15,2025-10-27,292843,pagada
42,10,FAC-202511-0000042,2025-11-09,2025-11-24,308755,en_mora
43,10,FAC-202512-0000043,2025-12-15,2025-12-27,304374,pagada
44,10,FAC-202601-0000044,2026-01-03,2026-01-21,293058,pagada
46,11,FAC-202510-0000046,2025-10-22,2025-11-10,80159,pagada
47,11,FAC-202511-0000047,2025-11-20,2025-12-06,81032,pagada
48,11,FAC-202601-0000048,2026-01-18,2026-02-01,77963,pendiente
49,11,FAC-202602-0000049,2026-02-13,2026-02-27,79490,pagada
50,11,FAC-202604-0000050,2026-04-20,2026-05-03,86139,en_mora
51,12,FAC-202510-0000051,2025-10-22,2025-11-10,105478,pagada
52,13,FAC-202510-0000052,2025-10-18,2025-10-29,35841,pendiente
53,13,FAC-202512-0000053,2025-12-05,2025-12-19,44675,pagada
54,13,FAC-202603-0000054,2026-03-15,2026-03-26,126643,pendiente
55,14,FAC-202603-0000055,2026-03-22,2026-04-06,61277,pagada
56,15,FAC-202510-0000056,2025-10-21,2025-11-06,78432,en_mora
57,15,FAC-202602-0000057,2026-02-11,2026-02-23,78252,pagada
58,15,FAC-202603-0000058,2026-03-16,2026-04-01,91537,vencida
59,15,FAC-202604-0000059,2026-04-22,2026-05-10,86363,pagada
60,15,FAC-202510-0000060,2025-10-07,2025-10-17,93265,en_mora
