"id_llamada","id_cliente","id_agente","id_departamento","id_caso","id_tipo_servicio","id_motivo","id_resultado","tipo_llamada","fecha_hora_inicio","fecha_hora_fin","duracion_segundos","tiempo_espera_segundos","canal","requiere_seguimiento"
"84112","6725","102","4","","4","11","1","saliente","2025-10-13 00:02:26","2025-10-13 00:05:30","184","19","telefono","0"
"88796","20256","180","2","","2","6","1","entrante","2025-10-13 00:03:14","2025-10-13 00:14:09","655","107","telefono","0"
"120371","904","8","5","","5","14","3","entrante","2025-10-13 00:29:19","2025-10-13 00:32:32","193","92","telefono","1"
"109318","14694","114","3","","3","7","1","entrante","2025-10-13 00:30:03","2025-10-13 00:32:40","157","45","telefono","0"
"98549","13252","179","2","","2","4","1","entrante","2025-10-13 00:30:09","2025-10-13 00:34:54","285","117","telefono","0"
"92065","22736","135","5","","5","13","1","entrante","2025-10-13 00:33:19","2025-10-13 00:36:15","176","55","telefono","0"
"16155","9531","173","2","8175","2","6","3","entrante","2025-10-13 00:36:13","2025-10-13 00:39:57","224","85","telefono","1"
"55931","578","123","3","28403","3","9","1","entrante","2025-10-13 00:36:51","2025-10-13 00:39:24","153","105","telefono","0"
"37382","13527","109","4","19044","4","10","1","saliente","2025-10-13 00:53:01","2025-10-13 00:56:03","182","156","telefono","0"
"87808","18458","148","1","","1","1","1","saliente","2025-10-13 01:04:37","2025-10-13 01:07:01","144","67","voip","0"
"100534","11993","100","2","","2","5","1","entrante","2025-10-13 01:13:58","2025-10-13 01:21:50","472","88","voip","0"
"69141","27597","162","5","","5","15","1","entrante","2025-10-13 01:44:12","2025-10-13 01:47:06","174","131","telefono","0"
"93876","13829","104","5","","5","15","1","entrante","2025-10-13 02:00:01","2025-10-13 02:01:32","91","129","telefono","0"
"77306","9986","121","2","","2","4","1","entrante","2025-10-13 02:15:29","2025-10-13 02:21:34","365","53","voip","0"
"82790","27107","26","5","","5","14","1","entrante","2025-10-13 02:18:50","2025-10-13 02:23:58","308","58","campana","0"
"12863","9571","63","5","6509","5","15","2","entrante","2025-10-13 02:39:28","2025-10-13 02:43:44","256","54","telefono","1"
"65108","10941","26","5","","5","13","3","entrante","2025-10-13 03:12:28","2025-10-13 03:17:18","290","146","telefono","1"
"11365","11619","162","5","5747","5","13","1","entrante","2025-10-13 03:28:21","2025-10-13 03:31:54","213","24","voip","0"
"42392","9950","107","2","21591","2","5","1","entrante","2025-10-13 03:46:10","2025-10-13 03:54:26","496","82","voip","0"
"63715","9016","22","5","","5","15","3","entrante","2025-10-13 04:06:00","2025-10-13 04:09:53","233","77","voip","1"
"109150","26916","89","1","","1","1","1","entrante","2025-10-13 04:14:24","2025-10-13 04:16:56","152","82","telefono","0"
"104567","28304","63","5","","5","13","1","entrante","2025-10-13 04:24:57","2025-10-13 04:27:00","123","70","campana","0"
"106940","29800","133","1","","1","2","1","entrante","2025-10-13 04:33:23","2025-10-13 04:36:13","170","103","voip","0"
"110107","27613","69","5","","5","15","1","entrante","2025-10-13 04:47:33","2025-10-13 04:50:48","195","75","campana","0"
"76712","17070","88","3","","3","9","1","entrante","2025-10-13 04:54:45","2025-10-13 04:59:50","305","73","telefono","0"
"11024","15986","12","1","5578","1","1","1","entrante","2025-10-13 05:25:34","2025-10-13 05:29:19","225","97","telefono","0"
"67886","6500","84","3","","3","8","3","entrante","2025-10-13 05:28:52","2025-10-13 05:32:14","202","91","telefono","1"
"99673","1167","97","5","","5","15","1","entrante","2025-10-13 05:39:15","2025-10-13 05:43:16","241","45","telefono","0"
"84686","13585","123","3","","3","7","1","entrante","2025-10-13 05:46:38","2025-10-13 05:48:48","130","35","telefono","0"
"117269","10063","164","2","","2","5","1","entrante","2025-10-13 05:47:03","2025-10-13 05:52:42","339","139","campana","0"
"120716","29501","38","1","","1","3","3","entrante","2025-10-13 05:59:29","2025-10-13 06:04:34","305","76","telefono","1"
"116271","14035","103","2","","2","4","1","entrante","2025-10-13 06:01:01","2025-10-13 06:11:38","637","124","telefono","0"
"64126","28477","","4","","4","11","4","saliente","2025-10-13 06:10:19","2025-10-13 06:11:27","68","48","telefono","0"
"40846","8140","62","1","20802","1","1","6","entrante","2025-10-13 06:17:12","2025-10-13 06:23:07","355","73","telefono","1"
"125627","21720","153","3","","3","7","6","entrante","2025-10-13 06:24:03","2025-10-13 06:28:07","244","85","telefono","1"
"118089","5898","20","2","","2","5","1","entrante","2025-10-13 06:27:54","2025-10-13 06:36:27","513","59","voip","0"
"88036","7177","145","1","","1","1","3","entrante","2025-10-13 06:29:06","2025-10-13 06:32:11","185","46","telefono","1"
"75908","1342","126","5","","5","15","1","entrante","2025-10-13 06:31:48","2025-10-13 06:35:30","222","50","telefono","0"
"73202","794","31","4","","4","11","1","saliente","2025-10-13 06:33:43","2025-10-13 06:36:44","181","79","telefono","0"
"105136","14859","163","3","","3","9","1","saliente","2025-10-13 06:43:41","2025-10-13 06:48:11","270","41","telefono","0"
"82617","27487","31","4","","4","12","6","saliente","2025-10-13 06:43:59","2025-10-13 06:46:19","140","31","telefono","1"
"116061","2147","131","1","","1","1","3","entrante","2025-10-13 06:45:11","2025-10-13 06:47:32","141","26","telefono","1"
