id_pago,id_factura,fecha_pago,valor_pagado,metodo_pago,estado_pago
1,1,2025-10-08,45108,transferencia,aplicado
2,2,2025-11-24,41262,transferencia,aplicado
3,3,2026-03-28,50073,tarjeta_debito,aplicado
5,5,2025-12-05,82593,tarjeta_debito,aplicado
7,8,2026-03-18,110022,recaudo_externo,aplicado
8,9,2026-01-15,32556,tarjeta_debito,aplicado
9,11,2025-11-19,69897,transferencia,aplicado
10,12,2025-12-07,84050,efectivo,aplicado
11,13,2025-10-23,36530,transferencia,aplicado
13,17,2025-11-25,71403,tarjeta_debito,aplicado
14,18,2025-12-15,68461,efectivo,aplicado
15,19,2026-02-28,62799,efectivo,aplicado
16,22,2025-12-02,49249,transferencia,aplicado
17,23,2026-03-29,57242,recaudo_externo,aplicado
18,24,2025-10-26,42440,recaudo_externo,aplicado
19,25,2025-10-28,16333,efectivo,parcial
20,26,2025-12-02,63682,efectivo,aplicado
21,28,2026-04-10,61457,recaudo_externo,aplicado
22,29,2026-02-11,21815,tarjeta_credito,aplicado
23,31,2025-10-13,160614,tarjeta_credito,aplicado
24,33,2026-02-24,160040,tarjeta_debito,aplicado
25,34,2026-04-03,159598,tarjeta_debito,aplicado
26,35,2025-10-23,26980,transferencia,aplicado
27,37,2026-04-16,25806,transferencia,aplicado
28,38,2025-10-23,27577,tarjeta_debito,aplicado
29,39,2025-10-13,92166,pse,aplicado
30,40,2026-01-12,91368,tarjeta_credito,aplicado
31,41,2025-10-19,292843,pse,aplicado
32,43,2025-12-25,304374,tarjeta_credito,aplicado
33,44,2026-01-17,293058,pse,aplicado
35,46,2025-11-02,80159,recaudo_externo,aplicado
36,47,2025-12-06,81032,tarjeta_credito,aplicado
37,49,2026-02-27,79490,tarjeta_debito,aplicado
38,51,2025-11-09,105478,recaudo_externo,aplicado
39,52,2025-11-14,17514,pse,parcial
40,53,2025-12-14,44675,tarjeta_credito,aplicado
41,55,2026-03-29,61277,transferencia,aplicado
42,57,2026-02-15,78252,transferencia,aplicado
43,59,2026-05-05,86363,efectivo,aplicado
44,61,2026-04-28,91768,efectivo,aplicado
45,62,2025-10-20,100416,efectivo,aplicado
47,64,2026-02-26,102560,transferencia,aplicado
48,65,2025-10-31,33649,efectivo,aplicado
49,66,2026-01-30,32127,tarjeta_credito,aplicado
50,68,2025-12-01,184268,recaudo_externo,aplicado
51,69,2026-02-26,186641,transferencia,aplicado
52,70,2026-01-05,52595,efectivo,aplicado
53,71,2025-10-27,32421,efectivo,aplicado
54,72,2025-12-31,45414,efectivo,aplicado
55,73,2025-10-17,33817,tarjeta_debito,aplicado
57,75,2025-10-21,52861,transferencia,aplicado
58,76,2025-12-18,55699,recaudo_externo,aplicado
59,77,2026-01-15,64190,recaudo_externo,aplicado
61,79,2026-04-20,60988,recaudo_externo,aplicado
62,80,2025-11-03,29159,pse,aplicado
63,83,2025-11-06,257204,recaudo_externo,aplicado
64,84,2025-12-28,263609,efectivo,aplicado
65,85,2026-01-26,270360,efectivo,aplicado
66,86,2026-03-15,266903,recaudo_externo,aplicado
67,87,2025-11-11,20501,recaudo_externo,parcial
68,89,2026-01-01,44658,tarjeta_credito,aplicado
69,90,2026-02-26,39260,tarjeta_credito,aplicado
71,94,2025-11-23,147988,transferencia,aplicado
72,95,2026-01-21,152448,pse,aplicado
73,96,2026-03-27,138522,efectivo,aplicado
74,97,2025-10-11,216732,recaudo_externo,aplicado
75,98,2025-12-24,214227,pse,aplicado
76,99,2026-01-10,212165,tarjeta_credito,aplicado
77,100,2026-03-24,221721,tarjeta_credito,aplicado
78,102,2025-10-15,64822,pse,aplicado
79,104,2025-12-15,64063,pse,aplicado
80,105,2026-01-21,67336,tarjeta_credito,aplicado
81,106,2026-03-04,65791,efectivo,aplicado
82,107,2026-04-22,61081,tarjeta_credito,aplicado
83,108,2025-10-16,23603,efectivo,aplicado
84,112,2025-12-14,77963,pse,aplicado
85,113,2026-03-08,80322,tarjeta_debito,aplicado
86,114,2026-04-26,83101,efectivo,aplicado
87,115,2025-10-18,99851,transferencia,aplicado
88,119,2026-03-23,96812,pse,aplicado
89,121,2025-11-01,48649,tarjeta_credito,aplicado
90,123,2026-01-12,63327,tarjeta_credito,aplicado
91,125,2026-04-23,59233,tarjeta_debito,aplicado
92,126,2026-02-05,217667,pse,aplicado
93,127,2026-02-25,226638,tarjeta_credito,aplicado
94,128,2026-03-12,212385,transferencia,aplicado
95,129,2026-04-26,218553,recaudo_externo,aplicado
96,130,2025-10-11,47594,transferencia,aplicado
97,131,2025-12-12,33357,tarjeta_debito,aplicado
98,132,2026-04-29,40061,efectivo,aplicado
99,133,2025-10-25,291600,efectivo,aplicado
100,135,2026-01-14,183713,pse,parcial
101,136,2026-03-25,290071,tarjeta_credito,aplicado
102,137,2025-10-07,42070,transferencia,aplicado
103,138,2025-12-04,39012,pse,aplicado
104,140,2026-02-02,47660,tarjeta_credito,aplicado
105,141,2026-02-26,48040,tarjeta_debito,aplicado
106,142,2026-04-26,34951,tarjeta_debito,aplicado
107,143,2025-11-21,33665,recaudo_externo,aplicado
108,144,2026-01-18,43562,efectivo,aplicado
109,145,2025-11-14,38817,transferencia,parcial
110,147,2026-02-26,20278,efectivo,aplicado
112,149,2025-12-15,95661,recaudo_externo,aplicado
113,151,2025-10-31,32489,transferencia,aplicado
114,152,2026-02-16,31835,efectivo,aplicado
115,153,2025-10-28,166065,pse,aplicado
116,154,2025-12-05,163024,efectivo,aplicado
117,155,2025-12-08,167006,efectivo,aplicado
118,157,2025-11-02,74413,recaudo_externo,aplicado
119,158,2026-02-02,86136,transferencia,aplicado
120,159,2026-04-23,58263,transferencia,parcial
121,160,2026-04-11,86254,recaudo_externo,aplicado
122,161,2026-01-27,105119,transferencia,aplicado
123,162,2026-04-06,107150,tarjeta_credito,aplicado
124,163,2025-11-03,65819,pse,aplicado
125,164,2026-01-15,75327,pse,aplicado
126,165,2026-04-04,56288,pse,aplicado
127,166,2025-11-04,39795,pse,aplicado
129,168,2025-10-13,75714,transferencia,aplicado
130,169,2026-01-21,26002,efectivo,parcial
131,170,2026-02-24,74609,efectivo,aplicado
132,171,2026-05-05,84845,tarjeta_debito,aplicado
133,172,2025-10-31,102631,transferencia,aplicado
134,174,2026-01-26,97360,recaudo_externo,aplicado
137,177,2026-02-16,96153,pse,aplicado
139,180,2026-04-13,46126,tarjeta_debito,aplicado
140,181,2025-10-22,42544,recaudo_externo,aplicado
141,183,2026-04-15,28720,tarjeta_debito,aplicado
142,184,2025-11-02,60197,pse,aplicado
143,186,2025-10-08,32771,tarjeta_credito,aplicado
144,187,2026-01-20,27913,pse,aplicado
145,189,2026-04-19,35058,tarjeta_credito,aplicado
146,190,2025-10-30,33905,tarjeta_debito,aplicado
147,192,2025-11-04,348982,tarjeta_debito,aplicado
149,194,2026-02-18,359713,tarjeta_credito,aplicado
150,195,2026-03-14,345809,recaudo_externo,aplicado
151,196,2026-05-02,353014,tarjeta_debito,aplicado
152,197,2025-10-20,137767,tarjeta_debito,aplicado
153,198,2025-11-17,147389,pse,aplicado
154,199,2025-12-14,138353,recaudo_externo,aplicado
155,200,2026-03-29,136218,tarjeta_debito,aplicado
157,202,2025-10-20,67098,tarjeta_credito,aplicado
158,203,2025-12-13,74198,tarjeta_credito,aplicado
159,204,2026-01-19,74633,pse,aplicado
160,205,2026-03-31,69328,pse,aplicado
161,206,2025-10-15,100460,pse,aplicado
162,207,2026-01-04,102153,transferencia,aplicado
163,208,2025-10-21,23239,tarjeta_debito,aplicado
164,211,2025-12-29,69222,tarjeta_debito,aplicado
165,212,2026-02-21,52255,pse,parcial
166,213,2025-11-08,49967,tarjeta_credito,aplicado
167,217,2025-11-09,75762,efectivo,parcial
170,221,2025-10-15,32549,tarjeta_credito,aplicado
171,223,2025-11-15,56763,recaudo_externo,parcial
172,224,2025-11-12,92436,recaudo_externo,aplicado
173,225,2026-01-06,76438,recaudo_externo,aplicado
174,226,2026-02-14,79920,transferencia,aplicado
175,227,2025-10-21,110175,efectivo,aplicado
177,230,2025-12-25,82901,recaudo_externo,aplicado
178,231,2026-02-19,95094,pse,aplicado
179,233,2026-01-04,49409,tarjeta_credito,aplicado
180,234,2025-10-21,47546,efectivo,aplicado
182,238,2026-04-06,94497,pse,aplicado
183,239,2025-10-16,80158,efectivo,aplicado
184,240,2026-02-02,86307,pse,aplicado
185,242,2026-04-13,77217,tarjeta_debito,aplicado
186,245,2026-01-11,140022,recaudo_externo,aplicado
188,247,2025-10-16,54266,pse,aplicado
189,248,2025-12-15,60285,efectivo,aplicado
190,249,2026-03-20,31262,transferencia,parcial
192,252,2025-12-30,115457,transferencia,aplicado
