id_producto_cliente,id_cliente,nombre_producto_servicio,categoria,fecha_adquisicion,estado_producto
1,1,soporte_premium,servicio,2025-02-13,activo
2,1,television,hogar,2025-02-28,activo
3,1,internet_hogar,hogar,2025-04-04,activo
4,2,streaming_bundle,adicional,2026-01-14,activo
5,2,plan_movil,movil,2025-07-03,activo
6,3,soporte_premium,servicio,2025-03-13,suspendido
7,4,television,hogar,2024-10-27,activo
8,5,soporte_premium,servicio,2025-09-03,activo
9,6,seguro_dispositivo,adicional,2025-03-05,activo
10,6,television,hogar,2025-01-01,activo
11,6,streaming_bundle,adicional,2026-02-27,activo
12,7,internet_hogar,hogar,2024-12-02,activo
13,8,streaming_bundle,adicional,2025-04-26,activo
14,9,seguro_dispositivo,adicional,2025-02-27,activo
15,9,television,hogar,2025-01-16,activo
16,10,plan_empresarial,empresa,2024-11-11,activo
17,10,internet_hogar,hogar,2026-02-09,activo
18,11,plan_movil,movil,2025-09-23,activo
19,12,plan_movil,movil,2025-01-29,activo
20,13,seguro_dispositivo,adicional,2024-06-02,suspendido
21,13,internet_hogar,hogar,2026-03-09,activo
22,14,plan_movil,movil,2026-03-22,activo
23,15,plan_movil,movil,2025-03-22,activo
24,15,television,hogar,2024-11-05,activo
25,15,internet_hogar,hogar,2025-09-14,activo
26,15,soporte_premium,servicio,2024-11-12,suspendido
27,16,plan_empresarial,empresa,2025-05-15,activo
28,17,television,hogar,2025-12-05,activo
29,17,streaming_bundle,adicional,2024-08-17,activo
30,18,streaming_bundle,adicional,2024-11-17,activo
31,18,soporte_premium,servicio,2025-05-09,suspendido
32,18,seguro_dispositivo,adicional,2025-08-27,activo
33,19,seguro_dispositivo,adicional,2026-04-05,activo
34,20,plan_empresarial,empresa,2025-07-01,activo
35,20,soporte_premium,servicio,2024-11-04,activo
36,21,internet_hogar,hogar,2024-08-13,activo
37,21,plan_empresarial,empresa,2025-10-17,activo
38,22,plan_movil,movil,2024-07-01,activo
39,22,seguro_dispositivo,adicional,2024-11-26,activo
40,23,plan_movil,movil,2025-11-05,activo
41,23,soporte_premium,servicio,2025-06-09,cancelado
42,24,internet_hogar,hogar,2024-12-24,suspendido
43,25,television,hogar,2025-09-12,activo
44,26,plan_empresarial,empresa,2026-01-10,activo
45,27,seguro_dispositivo,adicional,2025-07-15,activo
