id_encuesta,id_llamada,id_cliente,calificacion,comentario,fecha_encuesta
1,71550,29391,5,,2025-12-04 00:47:50
2,117164,29922,3,Buena atencion,2026-01-31 09:12:40
3,16809,11809,3,Quedo pendiente,2025-12-01 19:22:44
4,41082,26212,2,Asesor amable,2025-11-05 08:37:30
5,35865,7106,5,,2025-11-15 02:39:03
6,90272,5747,5,Quedo pendiente,2026-03-10 22:45:10
7,41773,17354,5,Caso resuelto,2026-02-06 08:07:28
8,99999,27456,3,Buena atencion,2026-01-01 20:21:03
9,65147,15495,3,,2025-11-02 00:27:41
10,1074,5860,4,Proceso claro,2026-03-14 16:05:35
11,90630,5573,4,,2026-04-09 02:17:21
12,7763,26600,3,,2026-03-02 00:06:57
13,32851,15190,4,,2026-01-26 01:39:09
14,4412,25776,4,Servicio regular,2026-03-25 13:05:13
15,111940,25502,5,,2026-03-11 08:08:15
16,13005,22762,2,Servicio regular,2026-02-26 06:17:28
17,118412,24100,3,,2025-12-01 20:25:29
18,14426,3112,4,Caso resuelto,2026-01-09 03:38:09
19,70672,10093,4,No solucionaron del todo,2025-11-16 03:44:15
20,71065,3468,4,Servicio regular,2025-12-25 10:00:40
21,20432,517,2,No solucionaron del todo,2025-12-03 14:52:32
22,104769,6959,3,Servicio regular,2025-10-15 16:05:34
23,72801,24904,2,,2025-11-02 03:59:57
24,85678,28902,2,,2025-11-13 09:57:47
25,61345,19086,5,Buena atencion,2025-11-02 12:10:05
26,94252,20491,4,No solucionaron del todo,2025-12-13 01:47:51
27,98344,7030,4,Quedo pendiente,2025-10-29 23:37:20
28,42724,29225,3,,2026-02-24 23:30:13
29,42981,11350,3,Tiempo de espera alto,2026-03-29 19:38:43
30,69552,26345,4,Servicio regular,2025-12-04 20:55:54
31,99973,16708,4,Tiempo de espera alto,2026-04-04 14:12:44
32,117264,16842,3,,2026-03-19 21:53:11
33,123808,1365,3,Se requiere seguimiento,2026-04-02 17:41:15
34,12120,10066,3,Atencion rapida,2025-11-21 05:24:41
35,53066,3256,5,,2026-01-20 05:13:40
