id_motivo,nombre_motivo,descripcion,id_tipo_servicio
1,consulta_general,Consulta general,1
2,actualizacion_datos,Actualizacion de datos,1
3,reclamo,Reclamo general,1
4,falla_servicio,Falla del servicio,2
5,soporte_instalacion,Instalacion o configuracion,2
6,soporte_dispositivo,Soporte sobre dispositivo,2
7,compra_producto,Compra de producto o servicio,3
8,cambio_plan,Upgrade o cambio de plan,3
9,renovacion,Renovacion comercial,3
10,campana_saliente,Campana comercial saliente,4
11,recuperacion_cliente,Recuperacion de cliente,4
12,informacion_promocion,Informacion de promocion,4
13,pago_factura,Pago de factura,5
14,cobro_mora,Cobro o acuerdo por mora,5
15,consulta_factura,Consulta de factura,5
