id_agente,id_habilidad
1,2
1,4
2,2
2,4
3,3
3,4
4,1
4,4
4,2
5,2
5,4
6,1
6,4
7,1
7,4
8,6
8,4
8,1
9,2
10,6
10,4
11,1
11,4
12,2
12,4
13,3
13,4
13,5
14,1
14,4
15,3
16,1
17,3
17,4
18,6
19,2
19,4
20,3
20,4
20,5
21,1
21,4
22,1
22,4
23,3
23,4
24,2
24,4
25,3
25,4
26,1
26,4
27,2
28,1
28,4
29,1
29,4
30,3
31,3
31,4
32,2
32,4
32,5
33,2
33,4
33,5
34,2
35,3
35,4
36,6
36,4
37,3
37,4
38,1
38,4
38,5
39,3
39,4
40,1
41,1
41,4
41,3
42,1
42,4
43,3
43,4
44,3
44,4
44,5
45,1
45,4
46,3
46,4
46,6
47,1
48,2
48,4
49,1
49,4
50,3
50,4
51,3
51,4
52,2
52,4
53,3
54,2
54,4
54,3
55,2
55,4
56,2
57,3
57,4
58,1
58,4
59,6
60,1
60,4
60,5
61,3
61,4
62,1
62,4
62,6
63,3
64,1
64,4
65,2
66,3
66,4
66,1
67,6
67,4
67,5
68,3
69,2
69,4
70,2
70,4
71,2
71,4
72,2
72,4
73,2
74,3
75,1
75,4
76,1
76,4
77,2
77,4
78,3
78,4
79,1
79,4
80,3
80,4
81,1
81,4
82,3
82,4
83,2
83,4
83,5
84,2
84,4
85,1
85,4
86,2
87,1
88,3
89,2
89,4
90,2
90,4
90,6
91,2
91,4
91,5
92,3
92,4
93,1
94,2
95,3
96,1
97,3
98,6
98,4
99,2
100,3
100,4
101,3
102,1
102,4
103,2
103,4
104,1
104,4
105,1
105,4
106,3
106,4
106,2
107,3
107,4
107,5
108,1
108,4
109,1
109,4
110,2
110,4
111,2
111,4
111,5
112,3
113,1
113,4
113,3
114,3
115,2
115,4
116,3
116,4
116,5
117,2
117,4
118,3
118,4
118,5
119,3
120,1
120,4
121,6
122,2
122,4
123,3
124,1
125,3
126,6
126,4
127,2
127,4
127,6
128,2
128,4
129,1
129,4
130,3
130,4
131,2
132,2
132,4
133,3
133,4
134,3
135,1
135,4
135,2
136,2
136,4
137,2
138,2
138,4
139,2
139,4
139,5
140,2
140,4
141,3
141,4
142,2
142,4
143,3
143,4
144,6
144,4
145,1
145,4
146,3
146,4
147,6
147,4
148,1
148,4
149,2
149,4
150,6
150,4
151,2
151,4
152,6
152,4
152,5
153,1
153,4
154,1
155,1
155,4
156,6
156,4
156,3
157,2
157,4
158,3
158,4
159,2
159,4
160,1
160,4
160,3
161,1
161,4
161,6
162,1
162,4
163,3
163,4
164,1
164,4
165,6
166,1
166,4
166,2
167,2
168,3
168,4
168,1
169,2
169,4
170,2
171,2
171,4
172,3
172,4
172,1
173,1
173,4
174,2
175,1
175,4
176,3
176,4
177,1
177,4
178,2
178,4
179,2
179,4
179,1
180,1
180,4
181,6
182,1
182,4
182,6
183,3
184,2
184,4
185,2
185,4
186,3
187,3
187,4
187,6
188,3
189,2
189,4
189,3
190,1
190,4
191,1
191,4
192,3
192,4
193,1
194,1
194,4
194,3
195,3
195,4
196,3
196,4
197,1
197,4
198,1
198,4
199,6
200,2
200,4
200,6
201,3
202,3
202,4
203,1
203,4
204,2
204,4
205,1
205,4
205,5
206,1
206,4
207,3
207,4
207,5
208,2
208,4
208,5
209,2
210,3
210,4
211,3
212,2
212,4
213,6
213,4
214,1
214,4
215,2
215,4
216,2
216,4
217,3
217,4
218,1
218,4
219,2
219,4
219,5
220,2
220,4
221,2
222,2
222,4
223,6
223,4
224,2
224,4
225,3
226,2
226,4
227,2
227,4
228,2
229,2
229,4
229,5
230,2
231,3
232,3
233,1
233,4
234,2
235,1
236,1
236,4
236,5
237,1
238,3
238,4
239,1
239,4
240,3
240,4
240,1
241,1
241,4
242,2
242,4
243,2
243,4
