id_agente_turno,id_agente,id_turno,fecha_inicio,fecha_fin
1,1,1,2025-06-01,2026-05-26
2,2,2,2025-06-01,2026-05-26
3,3,2,2025-06-01,2026-05-26
4,4,2,2025-06-01,2026-05-26
5,5,1,2025-10-08,2025-12-04
6,5,2,2025-12-05,2026-05-26
7,6,3,2025-06-01,2026-05-26
8,7,2,2025-06-01,2026-05-26
9,8,2,2025-07-04,2025-09-30
10,8,1,2025-10-01,2026-05-26
11,9,2,2025-06-01,2025-08-14
12,9,2,2025-08-15,2026-05-26
13,10,2,2025-11-18,2026-02-18
14,10,1,2026-02-19,2026-05-26
15,11,2,2025-06-01,2025-08-30
16,11,2,2025-08-31,2026-05-26
17,12,1,2025-06-01,2025-08-12
18,12,1,2025-08-13,2026-05-26
19,13,1,2025-06-01,2026-05-26
20,14,1,2025-06-01,2026-05-26
21,15,2,2025-06-01,2026-05-26
22,16,1,2025-08-01,2026-05-26
23,17,2,2025-06-01,2026-05-26
24,18,2,2025-06-01,2025-08-27
25,18,1,2025-08-28,2026-05-26
26,19,1,2026-04-27,2026-05-26
27,20,2,2025-06-01,2026-05-26
28,21,1,2025-06-01,2025-09-08
29,21,3,2025-09-09,2026-05-26
30,22,2,2025-06-01,2025-07-29
31,22,2,2025-07-30,2026-05-26
32,23,1,2025-06-01,2025-08-26
33,23,2,2025-08-27,2026-05-26
34,24,2,2025-06-01,2026-05-26
35,25,1,2025-06-01,2026-05-26
36,26,3,2025-10-19,2026-05-26
37,27,1,2025-06-01,2025-07-16
38,27,2,2025-07-17,2026-05-26
39,28,1,2025-06-01,2026-05-26
40,29,2,2025-06-01,2025-09-05
41,29,2,2025-09-06,2026-05-26
42,30,1,2025-06-01,2026-05-26
43,31,1,2025-06-01,2026-05-26
44,32,1,2025-06-01,2026-05-26
45,33,2,2025-06-01,2026-05-26
46,34,1,2026-05-12,2026-05-26
47,35,3,2025-06-01,2026-05-26
48,36,1,2025-06-01,2026-05-26
49,37,1,2025-06-03,2025-07-26
50,37,1,2025-07-27,2026-05-26
51,38,1,2025-07-07,2026-05-26
52,39,2,2025-06-01,2026-05-26
53,40,2,2025-06-01,2026-05-26
54,41,3,2025-06-01,2026-05-26
55,42,2,2025-06-01,2026-05-26
56,43,1,2025-06-01,2026-05-26
57,44,1,2025-06-01,2026-05-26
58,45,2,2025-06-01,2026-05-26
59,46,1,2025-06-01,2025-08-18
60,46,2,2025-08-19,2026-05-26
61,47,1,2026-05-01,2026-05-26
62,47,2,2026-05-26,2026-05-26
63,48,3,2025-06-01,2026-05-26
64,49,1,2025-06-01,2025-07-27
65,49,1,2025-07-28,2026-05-26
66,50,1,2025-06-01,2026-05-26
67,51,3,2025-06-01,2026-05-26
68,52,1,2026-03-27,2026-05-26
69,53,1,2025-06-01,2026-05-26
70,54,3,2025-06-01,2026-05-26
71,55,3,2026-03-11,2026-05-04
72,55,2,2026-05-05,2026-05-26
73,56,2,2025-06-01,2026-05-26
74,57,2,2025-06-01,2026-05-26
75,58,2,2025-06-01,2026-05-26
76,59,1,2025-06-01,2026-05-26
77,60,2,2025-06-01,2025-07-30
78,60,2,2025-07-31,2026-05-26
79,61,2,2025-06-01,2026-05-26
80,62,3,2026-02-16,2026-05-26
81,63,1,2025-06-01,2026-05-26
82,64,2,2025-06-01,2025-09-05
83,64,2,2025-09-06,2026-05-26
84,65,1,2025-06-01,2026-05-26
85,66,2,2025-06-01,2026-05-26
86,67,1,2025-10-22,2026-05-26
87,68,1,2025-06-01,2026-05-26
88,69,1,2025-06-01,2025-07-20
89,69,2,2025-07-21,2026-05-26
90,70,2,2025-06-01,2026-05-26
91,71,2,2025-06-01,2026-05-26
92,72,3,2025-06-01,2026-05-26
93,73,2,2025-09-13,2026-05-26
94,74,2,2025-06-01,2026-05-26
95,75,2,2025-06-01,2025-09-02
96,75,1,2025-09-03,2026-05-26
97,76,2,2025-08-01,2025-10-25
98,76,2,2025-10-26,2026-05-26
99,77,1,2025-06-01,2026-05-26
100,78,1,2025-06-01,2025-07-16
101,78,3,2025-07-17,2026-05-26
102,79,2,2025-06-01,2026-05-26
103,80,1,2025-10-25,2026-05-26
104,81,2,2025-06-01,2025-09-04
105,81,2,2025-09-05,2026-05-26
106,82,1,2025-06-01,2026-05-26
107,83,2,2025-06-01,2026-05-26
108,84,1,2025-06-01,2026-05-26
109,85,2,2025-06-01,2026-05-26
110,86,1,2025-06-01,2026-05-26
111,87,1,2025-06-01,2025-07-18
112,87,1,2025-07-19,2026-05-26
113,88,1,2025-06-01,2026-05-26
114,89,1,2025-06-01,2026-05-26
115,90,1,2025-06-01,2025-08-23
116,90,3,2025-08-24,2026-05-26
117,91,1,2025-06-01,2026-05-26
118,92,2,2025-06-01,2025-08-22
119,92,2,2025-08-23,2026-05-26
120,93,1,2026-04-18,2026-05-26
121,94,1,2025-11-12,2026-05-26
122,95,3,2025-06-01,2025-08-25
123,95,2,2025-08-26,2026-05-26
124,96,3,2025-06-01,2026-05-26
125,97,2,2025-06-01,2025-08-02
126,97,1,2025-08-03,2026-05-26
127,98,1,2025-06-01,2025-09-01
128,98,3,2025-09-02,2026-05-26
129,99,2,2025-06-01,2026-05-26
130,100,1,2026-02-27,2026-05-26
131,101,2,2025-06-01,2026-05-26
132,102,1,2025-06-01,2026-05-26
133,103,1,2026-05-08,2026-05-26
134,103,1,2026-05-26,2026-05-26
135,104,2,2025-06-01,2025-08-04
136,104,2,2025-08-05,2026-05-26
137,105,2,2025-06-01,2025-08-26
138,105,1,2025-08-27,2026-05-26
139,106,1,2025-06-01,2025-07-18
140,106,3,2025-07-19,2026-05-26
141,107,2,2025-06-16,2026-05-26
142,108,1,2025-06-01,2026-05-26
143,109,3,2025-06-01,2026-05-26
144,110,2,2025-06-09,2025-08-02
145,110,1,2025-08-03,2026-05-26
146,111,3,2025-06-01,2026-05-26
147,112,3,2025-06-01,2026-05-26
148,113,3,2025-06-01,2026-05-26
149,114,1,2026-02-18,2026-05-26
150,115,2,2026-05-07,2026-05-26
151,115,2,2026-05-26,2026-05-26
152,116,1,2025-12-04,2026-05-26
153,117,2,2026-02-05,2026-05-26
154,118,2,2025-06-01,2026-05-26
155,119,3,2025-06-01,2026-05-26
156,120,1,2025-06-01,2026-05-26
157,121,1,2025-06-01,2026-05-26
158,122,2,2025-06-01,2026-05-26
159,123,1,2025-09-11,2025-12-15
160,123,3,2025-12-16,2026-05-26
161,124,2,2025-06-01,2025-09-01
162,124,3,2025-09-02,2026-05-26
163,125,1,2025-06-01,2026-05-26
164,126,2,2025-06-01,2026-05-26
165,127,1,2025-06-01,2026-05-26
166,128,3,2025-06-01,2025-07-27
167,128,2,2025-07-28,2026-05-26
168,129,2,2025-06-01,2026-05-26
169,130,1,2025-06-01,2026-05-26
170,131,2,2025-06-01,2026-05-26
171,132,2,2026-05-22,2026-05-26
172,133,2,2025-06-01,2025-07-19
173,133,2,2025-07-20,2026-05-26
174,134,3,2025-06-01,2025-08-28
175,134,1,2025-08-29,2026-05-26
176,135,2,2025-06-01,2026-05-26
177,136,2,2025-06-01,2025-09-04
178,136,3,2025-09-05,2026-05-26
179,137,1,2025-06-01,2026-05-26
180,138,2,2025-06-01,2026-05-26
181,139,1,2025-06-01,2026-05-26
182,140,1,2025-06-01,2026-05-26
183,141,1,2025-06-01,2026-05-26
184,142,2,2025-06-01,2026-05-26
185,143,2,2026-04-18,2026-05-26
186,144,1,2025-06-01,2025-08-15
187,144,2,2025-08-16,2026-05-26
188,145,2,2025-06-01,2026-05-26
189,146,1,2025-06-01,2025-08-05
190,146,3,2025-08-06,2026-05-26
191,147,2,2025-06-01,2025-08-08
192,147,1,2025-08-09,2026-05-26
193,148,2,2025-06-01,2026-05-26
194,149,2,2025-11-14,2026-05-26
195,150,3,2025-06-01,2026-05-26
196,151,2,2025-06-01,2025-07-24
197,151,1,2025-07-25,2026-05-26
198,152,3,2025-06-01,2026-05-26
199,153,1,2025-06-01,2025-09-03
200,153,2,2025-09-04,2026-05-26
201,154,2,2025-06-01,2025-09-06
202,154,2,2025-09-07,2026-05-26
203,155,1,2026-03-03,2026-04-25
204,155,2,2026-04-26,2026-05-26
205,156,3,2025-06-01,2026-05-26
206,157,2,2025-06-01,2026-05-26
207,158,2,2025-06-16,2026-05-26
208,159,1,2025-06-01,2025-08-02
209,159,3,2025-08-03,2026-05-26
210,160,1,2025-06-01,2025-09-05
211,160,1,2025-09-06,2026-05-26
212,161,3,2025-06-01,2026-05-26
213,162,1,2025-06-01,2025-08-12
214,162,1,2025-08-13,2026-05-26
215,163,1,2025-06-01,2025-08-31
216,163,2,2025-09-01,2026-05-26
217,164,2,2025-06-01,2025-08-27
218,164,1,2025-08-28,2026-05-26
219,165,1,2025-06-01,2026-05-26
220,166,1,2025-06-01,2025-08-06
221,166,2,2025-08-07,2026-05-26
222,167,1,2025-06-01,2025-09-04
223,167,1,2025-09-05,2026-05-26
224,168,2,2025-06-01,2025-08-24
225,168,1,2025-08-25,2026-05-26
226,169,2,2025-06-01,2026-05-26
227,170,3,2026-02-25,2026-05-24
228,170,1,2026-05-25,2026-05-26
229,171,1,2025-06-01,2026-05-26
230,172,3,2025-06-01,2026-05-26
231,173,1,2025-06-01,2026-05-26
232,174,3,2025-06-01,2026-05-26
233,175,1,2025-06-01,2025-08-02
234,175,1,2025-08-03,2026-05-26
235,176,2,2025-06-01,2026-05-26
236,177,2,2025-06-01,2026-05-26
237,178,1,2025-07-23,2025-10-27
238,178,2,2025-10-28,2026-05-26
239,179,3,2025-08-24,2025-11-11
240,179,1,2025-11-12,2026-05-26
241,180,1,2025-06-01,2025-07-30
242,180,2,2025-07-31,2026-05-26
243,181,1,2025-06-01,2025-08-31
244,181,1,2025-09-01,2026-05-26
245,182,2,2025-06-01,2026-05-26
246,183,1,2025-06-01,2026-05-26
247,184,1,2025-06-01,2026-05-26
248,185,2,2025-06-01,2026-05-26
249,186,3,2025-06-01,2026-05-26
250,187,1,2025-06-01,2026-05-26
251,188,2,2025-06-01,2026-05-26
252,189,2,2025-10-07,2026-05-26
253,190,1,2025-06-01,2026-05-26
254,191,3,2025-06-01,2025-08-01
255,191,1,2025-08-02,2026-05-26
256,192,1,2026-02-28,2026-05-26
257,193,3,2025-06-01,2026-05-26
258,194,2,2025-06-01,2026-05-26
259,195,2,2025-12-03,2026-01-26
260,195,2,2026-01-27,2026-05-26
261,196,2,2025-06-01,2025-07-26
262,196,2,2025-07-27,2026-05-26
263,197,2,2025-06-01,2026-05-26
264,198,1,2026-01-13,2026-03-14
265,198,1,2026-03-15,2026-05-26
266,199,2,2025-11-02,2026-05-26
267,200,3,2025-06-01,2026-05-26
268,201,1,2025-06-01,2025-07-31
269,201,1,2025-08-01,2026-05-26
270,202,3,2025-06-01,2026-05-26
271,203,1,2025-06-01,2026-05-26
272,204,1,2025-06-01,2025-08-17
273,204,1,2025-08-18,2026-05-26
274,205,3,2026-01-29,2026-05-26
275,206,1,2026-01-22,2026-04-16
276,206,3,2026-04-17,2026-05-26
277,207,1,2025-06-01,2026-05-26
278,208,1,2025-06-01,2025-07-24
279,208,2,2025-07-25,2026-05-26
280,209,2,2025-06-01,2026-05-26
281,210,1,2025-06-01,2026-05-26
282,211,3,2025-08-05,2026-05-26
283,212,1,2025-06-01,2026-05-26
284,213,2,2025-06-01,2026-05-26
285,214,2,2025-06-01,2025-08-20
286,214,2,2025-08-21,2026-05-26
287,215,1,2025-06-01,2026-05-26
288,216,1,2025-06-01,2026-05-26
289,217,2,2025-06-01,2026-05-26
290,218,1,2025-06-01,2026-05-26
291,219,3,2025-06-01,2025-08-21
292,219,3,2025-08-22,2026-05-26
293,220,3,2025-06-01,2026-05-26
294,221,1,2025-06-01,2026-05-26
295,222,1,2025-06-01,2025-07-22
296,222,2,2025-07-23,2026-05-26
297,223,3,2025-06-01,2026-05-26
298,224,3,2025-06-01,2025-07-23
299,224,1,2025-07-24,2026-05-26
300,225,3,2025-06-01,2025-08-22
301,225,2,2025-08-23,2026-05-26
302,226,2,2025-06-01,2026-05-26
303,227,1,2025-06-01,2026-05-26
304,228,1,2025-06-01,2026-05-26
305,229,1,2025-06-01,2026-05-26
306,230,1,2025-06-01,2025-08-23
307,230,2,2025-08-24,2026-05-26
308,231,1,2025-06-01,2026-05-26
309,232,2,2025-06-01,2026-05-26
310,233,1,2025-06-01,2025-08-09
311,233,2,2025-08-10,2026-05-26
312,234,3,2025-06-01,2025-09-02
313,234,2,2025-09-03,2026-05-26
314,235,2,2026-03-27,2026-05-26
315,236,1,2025-06-01,2026-05-26
316,237,3,2025-06-01,2025-07-28
317,237,2,2025-07-29,2026-05-26
318,238,1,2025-06-01,2026-05-26
319,239,2,2025-06-01,2026-05-26
320,240,2,2025-11-08,2026-05-26
321,241,1,2025-06-01,2026-05-26
322,242,2,2025-06-01,2026-05-26
323,243,1,2025-06-01,2026-05-26
324,244,2,2025-06-01,2026-05-26
325,245,2,2025-06-01,2026-05-26
326,246,2,2025-06-01,2025-07-27
327,246,2,2025-07-28,2026-05-26
328,247,1,2026-04-02,2026-05-26
329,247,2,2026-05-26,2026-05-26
330,248,2,2025-06-01,2025-08-11
331,248,1,2025-08-12,2026-05-26
332,249,2,2025-06-01,2026-05-26
333,250,2,2025-06-01,2026-05-26
334,251,2,2025-06-01,2026-05-26
335,252,2,2025-06-01,2026-05-26
336,253,2,2025-06-01,2026-05-26
337,254,1,2025-06-01,2026-05-26
338,255,1,2025-06-29,2026-05-26
339,256,1,2025-06-01,2025-08-08
340,256,1,2025-08-09,2026-05-26
341,257,3,2025-06-01,2026-05-26
342,258,2,2026-01-31,2026-03-23
343,258,1,2026-03-24,2026-05-26
344,259,3,2025-06-01,2025-08-22
345,259,2,2025-08-23,2026-05-26
346,260,1,2026-03-08,2026-05-26
347,261,1,2025-10-24,2026-05-26
348,262,2,2025-06-01,2026-05-26
349,263,1,2025-06-01,2025-08-02
350,263,2,2025-08-03,2026-05-26
351,264,3,2025-06-01,2025-08-20
352,264,2,2025-08-21,2026-05-26
353,265,1,2025-06-01,2026-05-26
354,266,2,2025-06-01,2026-05-26
355,267,2,2025-06-01,2026-05-26
356,268,1,2025-06-01,2025-08-27
357,268,1,2025-08-28,2026-05-26
358,269,2,2025-06-01,2026-05-26
359,270,1,2025-11-10,2026-05-26
360,271,2,2025-06-01,2026-05-26
361,272,1,2025-06-01,2026-05-26
362,273,1,2025-06-01,2025-08-27
363,273,2,2025-08-28,2026-05-26
364,274,2,2026-02-04,2026-05-26
365,275,2,2025-06-01,2025-08-08
366,275,2,2025-08-09,2026-05-26
367,276,1,2025-06-01,2026-05-26
368,277,2,2026-03-06,2026-05-26
369,278,2,2025-11-21,2026-05-26
370,279,1,2025-06-01,2025-07-29
371,279,3,2025-07-30,2026-05-26
372,280,1,2025-06-01,2026-05-26
373,281,1,2025-06-01,2026-05-26
374,282,2,2025-06-01,2025-08-01
375,282,1,2025-08-02,2026-05-26
376,283,2,2025-06-01,2026-05-26
377,284,1,2025-08-26,2026-05-26
378,285,1,2025-06-01,2026-05-26
379,286,2,2025-06-01,2026-05-26
380,287,2,2025-06-01,2026-05-26
381,288,2,2025-06-01,2025-08-29
382,288,2,2025-08-30,2026-05-26
383,289,2,2026-02-17,2026-04-04
384,289,1,2026-04-05,2026-05-26
385,290,2,2025-06-01,2026-05-26
386,291,1,2025-06-01,2025-08-23
387,291,2,2025-08-24,2026-05-26
388,292,2,2025-07-10,2025-08-26
389,292,1,2025-08-27,2026-05-26
