id_caso,id_cliente,id_tipo_servicio,id_motivo,descripcion_caso,fecha_apertura,fecha_cierre,estado_caso,resuelto_primer_contacto,prioridad
1,53831,2,4,Caso 1 asociado a motivo 4,2025-10-20 15:58:57,,en_proceso,0,baja
2,67451,1,1,Caso 2 asociado a motivo 1,2025-07-11 15:49:51,2025-07-31 02:49:51,cerrado,1,media
3,115207,2,6,Caso 3 asociado a motivo 6,2025-10-08 18:15:17,2025-10-27 19:15:17,cerrado,0,media
4,28173,1,3,Caso 4 asociado a motivo 3,2025-12-12 09:13:58,2025-12-29 07:03:09,cerrado,0,baja
5,82002,1,2,Caso 5 asociado a motivo 2,2025-09-05 15:25:06,2025-09-18 01:25:06,cerrado,1,media
6,117796,1,3,Caso 6 asociado a motivo 3,2026-01-10 17:39:11,2026-01-22 19:39:11,cerrado,0,media
7,24794,1,2,Caso 7 asociado a motivo 2,2025-10-25 11:31:48,2025-11-12 18:31:48,cerrado,1,baja
8,124398,5,14,Caso 8 asociado a motivo 14,2026-01-30 02:05:18,2026-02-10 04:05:18,cerrado,1,media
9,3187,1,3,Caso 9 asociado a motivo 3,2025-07-22 11:14:14,2025-08-05 11:14:14,cerrado,1,media
10,4123,5,13,Caso 10 asociado a motivo 13,2026-01-09 11:02:41,2026-01-09 12:02:41,cerrado,1,baja
11,11584,2,6,Caso 11 asociado a motivo 6,2025-11-06 10:40:41,2025-11-24 21:40:41,cerrado,0,critica
12,56257,2,4,Caso 12 asociado a motivo 4,2025-06-05 13:06:50,2025-06-11 19:06:50,cerrado,1,baja
13,80100,1,2,Caso 13 asociado a motivo 2,2025-06-30 16:29:41,2025-07-15 01:29:41,cerrado,1,media
14,77212,2,6,Caso 14 asociado a motivo 6,2026-04-09 10:29:19,,en_proceso,0,baja
15,106998,5,13,Caso 15 asociado a motivo 13,2025-09-22 09:21:04,2025-10-09 15:21:04,cancelado,0,alta
16,86899,1,2,Caso 16 asociado a motivo 2,2025-08-26 06:53:09,,en_proceso,0,media
17,65053,5,13,Caso 17 asociado a motivo 13,2026-03-04 11:14:13,2026-03-09 12:14:13,cerrado,1,media
18,70742,2,5,Caso 18 asociado a motivo 5,2025-12-17 22:46:14,2026-01-02 22:46:14,cerrado,0,media
19,27503,1,2,Caso 19 asociado a motivo 2,2025-09-24 18:30:31,2025-10-07 19:30:31,cerrado,1,media
20,38166,5,14,Caso 20 asociado a motivo 14,2025-10-20 07:39:53,2025-11-04 07:39:53,cerrado,1,baja
21,88496,2,4,Caso 21 asociado a motivo 4,2025-06-07 07:34:39,2025-06-26 07:34:39,cerrado,1,alta
22,122077,2,5,Caso 22 asociado a motivo 5,2026-04-22 11:11:44,,en_proceso,0,baja
23,89506,5,14,Caso 23 asociado a motivo 14,2026-03-04 06:30:58,2026-03-23 08:06:49,cerrado,0,baja
24,37329,2,6,Caso 24 asociado a motivo 6,2026-01-10 07:34:13,,en_proceso,0,alta
25,97489,4,10,Caso 25 asociado a motivo 10,2026-02-11 15:46:56,2026-02-20 22:46:56,cerrado,1,media
26,103210,1,1,Caso 26 asociado a motivo 1,2026-02-13 06:44:50,2026-03-03 17:44:50,cerrado,0,baja
27,120139,5,13,Caso 27 asociado a motivo 13,2026-03-09 18:55:40,,en_proceso,0,media
28,1278,2,6,Caso 28 asociado a motivo 6,2025-06-21 09:50:05,2025-07-07 20:15:35,cerrado,0,baja
29,4736,2,4,Caso 29 asociado a motivo 4,2025-07-28 09:22:48,2025-08-08 19:22:48,cerrado,0,media
30,105183,4,11,Caso 30 asociado a motivo 11,2025-09-16 17:56:32,2025-09-22 03:56:32,cerrado,1,baja
31,52277,1,3,Caso 31 asociado a motivo 3,2025-09-22 09:01:47,2025-09-29 17:01:47,cerrado,1,media
32,69348,1,2,Caso 32 asociado a motivo 2,2025-10-07 08:45:26,2025-10-21 18:45:26,cerrado,0,alta
33,70654,2,5,Caso 33 asociado a motivo 5,2025-12-04 14:02:44,,en_proceso,0,media
34,42018,5,13,Caso 34 asociado a motivo 13,2026-03-04 08:11:38,2026-03-17 16:11:38,cerrado,0,baja
35,43200,4,11,Caso 35 asociado a motivo 11,2026-05-07 11:33:21,2026-05-14 20:33:21,cerrado,0,baja
36,20204,3,8,Caso 36 asociado a motivo 8,2025-12-22 17:30:52,2026-01-03 02:30:52,cerrado,1,critica
37,114798,1,1,Caso 37 asociado a motivo 1,2025-07-15 01:33:47,,en_proceso,0,media
38,118008,1,2,Caso 38 asociado a motivo 2,2025-10-02 11:46:00,2025-10-19 15:46:00,cerrado,1,baja
39,123341,2,5,Caso 39 asociado a motivo 5,2026-05-10 15:30:24,2026-05-13 19:30:24,cerrado,1,media
40,97725,3,9,Caso 40 asociado a motivo 9,2026-03-17 12:23:15,2026-04-04 16:23:15,cerrado,1,baja
41,81566,1,1,Caso 41 asociado a motivo 1,2025-06-19 17:07:59,,en_proceso,0,media
42,16949,5,15,Caso 42 asociado a motivo 15,2026-03-06 16:16:35,2026-03-06 18:16:35,cerrado,1,media
43,109107,2,5,Caso 43 asociado a motivo 5,2025-07-21 17:28:13,2025-08-09 17:28:13,cerrado,0,baja
44,79422,1,1,Caso 44 asociado a motivo 1,2026-04-17 15:44:49,2026-04-27 20:44:49,cerrado,1,media
45,81378,2,6,Caso 45 asociado a motivo 6,2025-06-18 16:20:34,2025-07-06 23:20:34,cerrado,1,media
46,53803,4,11,Caso 46 asociado a motivo 11,2025-11-10 08:13:16,2025-11-20 09:13:16,cerrado,1,baja
47,28200,3,8,Caso 47 asociado a motivo 8,2026-03-21 10:12:28,2026-04-03 12:12:28,cerrado,0,alta
48,91556,1,3,Caso 48 asociado a motivo 3,2025-10-31 08:01:22,2025-11-05 13:01:22,cerrado,1,media
49,11969,5,15,Caso 49 asociado a motivo 15,2026-01-23 08:30:16,,en_proceso,0,media
50,116531,2,4,Caso 50 asociado a motivo 4,2026-01-21 08:19:37,,en_proceso,0,media
51,83322,2,5,Caso 51 asociado a motivo 5,2026-03-10 18:59:54,,en_proceso,0,alta
52,123403,3,7,Caso 52 asociado a motivo 7,2026-03-03 13:21:41,2026-03-23 17:12:28,cerrado,0,alta
53,116781,1,3,Caso 53 asociado a motivo 3,2026-05-19 18:11:55,2026-05-26 23:59:59,cerrado,1,media
54,84344,3,9,Caso 54 asociado a motivo 9,2025-07-30 12:46:35,2025-08-18 20:46:35,cerrado,1,media
55,122437,2,5,Caso 55 asociado a motivo 5,2026-01-26 19:10:30,2026-02-12 00:10:30,cancelado,0,alta
56,22392,3,8,Caso 56 asociado a motivo 8,2025-10-08 17:30:00,,en_proceso,0,media
57,121828,1,1,Caso 57 asociado a motivo 1,2025-09-09 08:22:28,2025-09-17 18:22:28,cerrado,1,media
58,109889,1,3,Caso 58 asociado a motivo 3,2026-01-23 17:52:58,2026-02-10 20:52:58,cerrado,1,media
59,25235,5,13,Caso 59 asociado a motivo 13,2025-08-06 12:43:25,2025-08-12 23:43:25,cerrado,1,alta
60,38623,1,2,Caso 60 asociado a motivo 2,2025-06-12 12:26:36,2025-07-02 22:26:36,cerrado,1,media
61,83791,5,13,Caso 61 asociado a motivo 13,2025-12-15 09:39:45,2025-12-29 11:39:45,cerrado,1,media
62,14727,4,10,Caso 62 asociado a motivo 10,2026-03-26 17:47:57,2026-03-31 09:03:42,cerrado,0,baja
63,50061,4,10,Caso 63 asociado a motivo 10,2025-08-08 19:38:59,2025-08-24 22:38:59,cerrado,1,baja
64,8996,4,10,Caso 64 asociado a motivo 10,2025-11-13 04:39:21,2025-11-18 12:39:21,cerrado,0,alta
65,112943,3,7,Caso 65 asociado a motivo 7,2026-01-13 10:11:06,2026-02-24 09:07:14,cerrado,0,baja
66,18257,1,3,Caso 66 asociado a motivo 3,2026-04-15 10:54:40,2026-04-25 18:54:40,cerrado,0,critica
67,38915,4,12,Caso 67 asociado a motivo 12,2026-01-04 07:11:06,2026-01-24 17:06:57,cerrado,0,alta
68,101235,1,3,Caso 68 asociado a motivo 3,2025-10-08 15:24:33,2025-10-27 17:24:33,cerrado,1,baja
69,26236,5,14,Caso 69 asociado a motivo 14,2025-09-02 14:54:26,2025-09-02 16:54:26,cerrado,1,media
70,87902,3,7,Caso 70 asociado a motivo 7,2025-09-14 12:10:51,2025-09-28 17:10:51,cerrado,1,baja
71,118701,5,15,Caso 71 asociado a motivo 15,2025-12-25 15:00:26,2025-12-28 23:00:26,cerrado,1,baja
72,54095,1,1,Caso 72 asociado a motivo 1,2026-05-15 02:29:26,2026-05-26 21:00:00,cancelado,0,critica
73,49303,2,4,Caso 73 asociado a motivo 4,2025-12-09 15:31:45,2025-12-19 19:00:07,cerrado,0,media
74,74724,2,5,Caso 74 asociado a motivo 5,2025-07-03 11:13:22,2025-07-22 16:13:22,cerrado,0,baja
75,5202,1,2,Caso 75 asociado a motivo 2,2025-06-13 15:54:07,,en_proceso,0,baja
76,41457,3,7,Caso 76 asociado a motivo 7,2026-03-18 18:00:55,2026-03-23 02:00:55,cerrado,1,baja
77,16248,4,11,Caso 77 asociado a motivo 11,2025-07-01 08:56:23,2025-07-02 08:56:23,cerrado,1,baja
78,83092,1,1,Caso 78 asociado a motivo 1,2026-04-03 09:06:03,2026-04-10 13:06:03,cerrado,1,alta
79,14408,1,1,Caso 79 asociado a motivo 1,2025-11-12 07:32:33,2025-11-26 16:32:33,cerrado,1,media
80,26950,5,14,Caso 80 asociado a motivo 14,2026-03-27 09:28:58,2026-04-13 11:08:57,cerrado,0,baja
81,115633,1,1,Caso 81 asociado a motivo 1,2026-01-27 12:56:43,2026-01-27 21:56:43,cerrado,1,media
82,97001,3,8,Caso 82 asociado a motivo 8,2025-06-30 14:39:34,2025-07-02 22:39:34,cerrado,1,baja
83,115131,2,6,Caso 83 asociado a motivo 6,2025-12-06 15:00:55,,en_proceso,0,media
84,117772,3,8,Caso 84 asociado a motivo 8,2025-12-11 16:34:28,2025-12-15 23:34:28,cerrado,1,media
85,100401,5,14,Caso 85 asociado a motivo 14,2025-09-10 09:25:55,2025-09-17 13:25:55,cerrado,0,media
86,82371,5,15,Caso 86 asociado a motivo 15,2025-07-30 16:02:58,2025-08-07 17:02:58,cerrado,0,media
87,76917,4,11,Caso 87 asociado a motivo 11,2026-02-19 14:22:49,2026-03-16 09:03:25,cerrado,0,media
88,106949,4,11,Caso 88 asociado a motivo 11,2026-04-06 12:35:47,2026-04-22 12:35:47,cerrado,0,baja
89,29346,2,6,Caso 89 asociado a motivo 6,2025-08-02 12:33:36,,en_proceso,0,alta
90,89141,1,3,Caso 90 asociado a motivo 3,2025-07-07 17:38:28,2025-07-11 03:38:28,cerrado,1,baja
91,20399,5,13,Caso 91 asociado a motivo 13,2025-07-04 17:03:27,2025-07-10 22:03:27,cerrado,1,baja
92,4175,3,7,Caso 92 asociado a motivo 7,2025-06-03 17:43:09,2025-06-21 15:06:54,cerrado,0,baja
93,39645,1,3,Caso 93 asociado a motivo 3,2025-10-23 10:57:48,2025-11-12 19:57:48,cerrado,1,alta
94,1503,2,4,Caso 94 asociado a motivo 4,2026-03-27 08:52:33,2026-04-16 16:24:51,cancelado,0,baja
95,8253,5,13,Caso 95 asociado a motivo 13,2025-09-29 10:18:41,2025-10-02 11:18:41,cerrado,1,baja
