id_encuesta,id_llamada,id_cliente,calificacion,comentario,fecha_encuesta
1,399676,6437,3,Tiempo de espera alto,2025-11-23 02:27:40
2,468284,65906,4,,2025-10-31 18:00:18
3,120959,42221,3,Tiempo de espera alto,2026-05-02 17:51:39
4,415308,5769,3,Tiempo de espera alto,2025-11-20 02:51:58
5,242905,116847,5,Buena atencion,2025-10-27 01:41:05
6,13554,37268,2,Atencion rapida,2026-01-11 15:03:27
7,392984,79135,4,Esperaba mas,2026-05-21 07:42:47
8,51278,67584,3,Esperaba mas,2025-07-21 13:27:18
9,122971,84709,3,No solucionaron del todo,2025-06-09 10:50:08
10,211967,96902,5,Asesor amable,2026-05-26 22:08:35
11,47596,1781,4,,2026-03-02 14:38:08
12,614122,68535,4,Buena atencion,2026-04-08 16:49:14
13,257345,51651,4,Atencion rapida,2026-05-21 17:13:06
14,75345,65283,3,Buena atencion,2025-12-21 14:08:22
15,528668,52174,4,,2026-02-18 06:59:52
16,559034,116199,5,Proceso claro,2025-10-12 23:53:44
17,410922,123396,4,,2025-12-03 21:43:22
18,500430,76216,4,Caso resuelto,2025-11-23 05:01:51
19,332213,70199,2,Se requiere seguimiento,2025-10-19 21:42:03
20,404478,6109,3,,2026-01-29 22:19:17
21,552103,92875,4,,2025-06-14 12:45:53
22,342072,118478,4,,2026-02-21 13:22:45
23,96871,3119,4,Buena atencion,2026-05-24 02:42:21
24,89713,92908,3,Servicio regular,2025-10-18 12:04:44
25,611838,99183,3,Atencion rapida,2026-01-29 00:25:18
26,265275,41247,5,Asesor amable,2026-04-04 08:43:20
27,449126,53723,3,No solucionaron del todo,2025-10-10 04:48:07
28,49590,120014,3,Buena atencion,2025-10-18 12:50:10
29,177459,34033,3,Asesor amable,2025-07-15 04:31:19
30,114815,54769,3,,2026-05-24 16:55:31
31,21552,89891,4,,2025-07-02 18:37:51
32,179994,51748,2,Quedo pendiente,2025-12-02 10:50:23
33,386102,52308,2,Tiempo de espera alto,2026-01-07 11:50:24
34,561306,31318,3,Muy buena experiencia,2025-10-11 09:38:12
35,546040,76067,4,Atencion rapida,2026-02-14 14:48:34
36,283953,71120,4,Esperaba mas,2025-12-03 02:22:25
37,289999,10452,3,Muy buena experiencia,2025-06-04 04:46:24
38,156935,75298,3,Asesor amable,2025-08-23 09:30:31
39,207622,54245,3,Servicio regular,2026-01-31 23:02:46
40,206752,18862,5,Buena atencion,2025-08-13 21:35:13
41,157731,91529,3,No solucionaron del todo,2025-11-13 04:43:57
42,622230,38877,4,,2026-03-13 06:02:55
43,552028,37140,3,Quedo pendiente,2025-08-09 21:59:05
44,212949,92519,2,Tiempo de espera alto,2026-02-06 12:50:54
45,597467,55263,3,Quedo pendiente,2025-08-22 20:06:30
46,139314,20906,2,,2025-07-29 13:15:21
47,475470,12512,4,Tiempo de espera alto,2025-08-11 05:52:07
48,130241,93752,1,Caso resuelto,2025-09-13 19:46:02
49,194597,123218,4,Asesor amable,2026-03-09 06:08:20
50,386898,80355,2,Esperaba mas,2026-03-24 10:59:33
51,9565,35171,3,Atencion rapida,2026-01-25 21:31:04
52,515269,8820,4,Buena atencion,2026-03-25 18:19:04
53,510782,42105,4,,2026-05-03 04:53:03
54,462526,13581,3,,2026-05-25 12:27:19
55,398542,90966,3,,2026-03-10 15:15:46
56,494429,116552,5,,2025-12-30 18:15:45
57,420831,5823,4,Atencion rapida,2025-07-07 22:50:11
58,484912,112745,4,No solucionaron del todo,2026-05-14 01:07:09
59,591008,121610,4,Buena atencion,2025-09-19 06:42:26
60,335730,33995,5,Atencion rapida,2025-08-07 06:48:47
61,552145,96276,4,Se requiere seguimiento,2026-01-14 12:44:38
62,476588,105644,4,Muy buena experiencia,2025-08-14 20:37:38
63,628639,6606,3,Asesor amable,2025-10-31 10:00:20
64,341520,83989,3,,2025-09-14 08:59:23
65,366246,88941,5,,2025-10-10 17:05:15
66,321634,122861,4,,2025-07-02 19:27:40
67,403371,94134,4,Caso resuelto,2025-12-03 03:14:45
68,287719,14696,3,Caso resuelto,2025-07-23 14:40:04
69,65025,25602,4,Buena atencion,2026-04-24 03:49:43
70,178706,32879,3,,2026-04-07 07:48:50
71,617197,90148,4,,2025-08-22 18:43:55
72,334464,92805,5,Asesor amable,2025-12-08 11:50:28
73,529889,28610,3,Servicio regular,2025-07-09 02:19:09
74,173528,113928,2,,2025-10-01 21:30:05
75,275001,37659,3,Atencion rapida,2025-07-03 19:33:07
76,325549,22,4,,2025-09-16 13:15:44
77,32998,71407,4,Quedo pendiente,2025-11-07 13:36:22
78,162083,81003,2,Tiempo de espera alto,2025-10-26 06:56:33
79,137694,22142,3,Buena atencion,2025-08-23 13:11:39
80,109623,58482,3,Esperaba mas,2026-01-01 19:25:54
81,5993,49891,2,Servicio regular,2026-05-18 20:24:23
82,56644,36720,3,Buena atencion,2026-02-09 17:49:14
83,38150,72736,2,Caso resuelto,2026-02-22 09:00:50
84,228256,5492,3,Caso resuelto,2025-08-27 20:44:23
85,172503,32337,2,,2025-11-22 05:35:27
86,275282,100283,4,Esperaba mas,2026-03-07 21:56:39
87,430802,83573,1,Proceso claro,2026-01-30 03:36:41
88,135707,78309,4,,2026-02-01 03:42:14
89,361817,88789,3,Esperaba mas,2025-11-03 10:33:28
90,608110,115658,2,,2025-12-31 13:10:27
91,481557,33984,3,,2025-07-04 07:25:15
92,135407,38559,3,,2026-03-23 02:42:56
93,348392,30170,5,,2025-09-06 14:52:57
94,89686,25628,2,,2025-10-08 04:08:12
95,343589,24560,4,Se requiere seguimiento,2026-04-08 14:40:50
96,388749,84097,4,,2025-12-31 15:14:41
97,79237,55926,4,Buena atencion,2025-10-23 18:26:37
98,99413,82627,5,,2025-06-29 08:47:12
99,475225,88890,4,Buena atencion,2025-07-04 23:39:19
100,434952,102104,3,Asesor amable,2026-04-02 17:20:47
101,198796,89438,4,,2026-03-17 18:01:53
102,19226,10996,2,Tiempo de espera alto,2026-02-19 01:40:53
103,509076,29418,2,,2025-06-21 20:39:11
104,26266,92396,3,,2025-10-08 16:08:58
105,220665,107486,3,,2025-06-29 01:25:48
106,509992,95511,4,Tiempo de espera alto,2025-10-06 17:48:21
107,398040,5943,2,,2026-04-09 04:14:55
108,120585,103142,3,Atencion rapida,2026-03-27 18:08:49
109,492467,87089,4,Atencion rapida,2025-10-04 09:56:34
110,72296,62917,5,,2026-04-27 20:22:21
111,497086,97045,5,,2025-07-04 21:31:07
112,448868,92401,4,,2025-07-27 00:56:48
113,547127,40080,3,Esperaba mas,2025-07-18 02:08:09
114,445364,34968,4,Muy buena experiencia,2025-08-22 08:49:01
115,330836,26871,4,Muy buena experiencia,2025-08-15 08:42:31
116,495076,73211,4,,2025-11-18 21:06:55
117,217399,29867,3,Se requiere seguimiento,2025-09-25 07:40:43
118,159871,17406,4,Tiempo de espera alto,2026-02-09 17:56:52
119,347152,38686,3,Buena atencion,2025-10-28 20:24:48
120,596939,122107,3,Muy buena experiencia,2025-09-05 12:44:09
121,98627,110832,3,Servicio regular,2025-07-19 09:25:12
122,234960,28641,3,,2025-10-04 15:48:44
123,75872,21502,3,No solucionaron del todo,2026-03-17 04:13:36
124,111274,108395,4,Proceso claro,2025-12-06 03:22:36
125,67998,4032,3,Tiempo de espera alto,2025-12-10 17:36:55
126,61311,64000,3,,2025-11-16 15:03:02
127,331205,55378,2,,2025-11-14 04:14:59
128,589315,93311,4,Caso resuelto,2026-03-06 15:36:33
129,121908,54783,5,Quedo pendiente,2025-11-13 15:04:19
130,346865,25030,5,Tiempo de espera alto,2025-10-26 07:38:59
131,285489,118715,3,Esperaba mas,2025-08-28 17:28:31
132,94713,1387,3,Buena atencion,2026-02-08 12:48:33
133,457550,89645,5,,2025-12-30 18:56:44
134,572147,29801,5,Servicio regular,2025-06-14 17:07:11
135,530100,82225,4,Quedo pendiente,2026-02-27 11:24:19
136,338359,31411,2,,2025-10-23 01:20:14
137,46773,40484,1,Tiempo de espera alto,2026-04-11 14:16:44
138,547629,21241,5,Esperaba mas,2026-01-19 17:39:27
139,88114,99759,4,Atencion rapida,2025-12-25 03:47:28
140,257402,13493,4,No solucionaron del todo,2025-12-08 14:23:38
141,521721,27666,3,Muy buena experiencia,2025-07-15 22:03:46
142,318366,74355,3,Tiempo de espera alto,2026-01-22 20:01:40
143,19150,69689,3,No solucionaron del todo,2026-05-24 11:04:00
144,298975,86318,4,,2026-02-19 10:30:58
145,288242,119724,3,,2025-11-18 07:13:15
146,324458,36542,3,Asesor amable,2026-02-14 09:17:18
147,172036,76195,3,,2025-08-09 07:01:21
148,63710,67407,5,,2026-01-27 07:08:20
149,163212,7191,4,Quedo pendiente,2025-12-01 02:16:08
150,103348,46032,3,,2026-04-22 11:42:48
151,361918,101031,4,,2025-12-10 20:05:34
152,31700,49702,5,Se requiere seguimiento,2025-08-07 03:42:34
153,586588,106578,4,,2026-05-12 11:06:43
154,495180,22252,1,Atencion rapida,2026-03-15 02:39:20
155,187510,37359,5,,2026-03-03 17:44:44
156,3484,14350,3,Buena atencion,2025-12-20 17:05:40
157,107305,121349,3,,2025-09-28 03:24:32
158,376896,41315,4,Atencion rapida,2026-02-14 15:02:00
159,351781,56926,4,,2026-05-04 01:05:02
160,99032,63793,4,Muy buena experiencia,2025-06-05 04:24:55
161,29437,21607,5,Buena atencion,2025-11-29 22:23:56
162,527181,50375,4,Asesor amable,2026-04-03 13:10:57
163,211194,79315,2,Esperaba mas,2026-05-23 02:15:29
164,148231,80344,3,,2025-12-31 11:16:14
165,242699,65362,2,Buena atencion,2026-01-18 20:44:11
166,80344,109043,2,Asesor amable,2026-03-04 23:13:37
167,237374,83963,4,No solucionaron del todo,2025-08-05 16:18:38
168,10976,89279,2,Tiempo de espera alto,2025-10-11 01:33:16
169,140098,35100,4,No solucionaron del todo,2025-08-19 23:36:09
170,457012,20479,4,Muy buena experiencia,2025-07-23 00:52:31
