id_producto_cliente,id_cliente,nombre_producto_servicio,categoria,fecha_adquisicion,estado_producto
1,1,plan_movil,movil,2025-11-18,activo
2,2,seguro_dispositivo,adicional,2025-05-24,activo
3,3,plan_empresarial,empresa,2024-04-17,activo
4,3,seguro_dispositivo,adicional,2025-05-15,cancelado
5,4,plan_movil,movil,2025-03-07,activo
6,4,internet_hogar,hogar,2024-07-03,activo
7,4,streaming_bundle,adicional,2024-07-28,activo
8,5,plan_empresarial,empresa,2024-04-30,activo
9,5,television,hogar,2024-10-26,activo
10,6,soporte_premium,servicio,2026-02-17,activo
11,7,seguro_dispositivo,adicional,2024-08-03,activo
12,8,internet_hogar,hogar,2026-02-10,activo
13,9,soporte_premium,servicio,2025-03-25,activo
14,10,plan_empresarial,empresa,2026-01-28,activo
15,11,soporte_premium,servicio,2024-09-01,activo
16,12,internet_hogar,hogar,2025-10-23,suspendido
17,12,plan_movil,movil,2026-01-22,activo
18,12,plan_empresarial,empresa,2026-04-17,activo
19,13,plan_empresarial,empresa,2026-04-15,activo
20,13,television,hogar,2024-02-05,cancelado
21,14,internet_hogar,hogar,2024-04-28,activo
22,14,soporte_premium,servicio,2025-09-20,activo
23,15,soporte_premium,servicio,2025-09-12,activo
24,16,television,hogar,2026-01-11,suspendido
25,17,streaming_bundle,adicional,2025-09-03,activo
26,18,streaming_bundle,adicional,2024-06-28,activo
27,19,streaming_bundle,adicional,2026-04-22,activo
28,20,plan_movil,movil,2026-04-22,activo
29,20,streaming_bundle,adicional,2025-04-25,activo
30,21,seguro_dispositivo,adicional,2026-03-22,activo
31,22,plan_empresarial,empresa,2025-05-24,cancelado
32,23,streaming_bundle,adicional,2024-09-24,activo
33,23,internet_hogar,hogar,2024-07-02,activo
34,23,plan_empresarial,empresa,2026-01-11,activo
35,23,seguro_dispositivo,adicional,2025-12-14,activo
36,24,plan_empresarial,empresa,2024-11-10,activo
37,24,seguro_dispositivo,adicional,2025-08-15,activo
38,25,soporte_premium,servicio,2025-02-18,activo
39,25,seguro_dispositivo,adicional,2025-03-31,activo
40,26,seguro_dispositivo,adicional,2026-01-31,activo
41,27,streaming_bundle,adicional,2025-06-06,activo
42,28,plan_empresarial,empresa,2024-04-14,activo
43,29,seguro_dispositivo,adicional,2025-09-15,activo
44,30,streaming_bundle,adicional,2025-06-04,activo
45,30,plan_empresarial,empresa,2025-10-02,activo
46,31,soporte_premium,servicio,2024-12-16,suspendido
47,31,television,hogar,2025-01-08,activo
48,31,plan_empresarial,empresa,2025-05-29,activo
49,32,soporte_premium,servicio,2024-04-23,activo
50,33,plan_movil,movil,2024-02-22,activo
51,34,soporte_premium,servicio,2024-08-16,suspendido
52,34,plan_movil,movil,2024-04-22,activo
53,34,internet_hogar,hogar,2026-04-21,activo
54,35,plan_movil,movil,2026-05-10,activo
55,36,soporte_premium,servicio,2024-05-25,activo
56,37,seguro_dispositivo,adicional,2024-11-29,activo
57,38,seguro_dispositivo,adicional,2025-10-04,activo
58,38,television,hogar,2026-01-20,suspendido
59,38,soporte_premium,servicio,2024-07-26,activo
60,38,internet_hogar,hogar,2026-01-11,activo
61,39,soporte_premium,servicio,2026-05-09,activo
62,39,seguro_dispositivo,adicional,2025-08-25,activo
63,39,plan_movil,movil,2025-08-01,activo
64,39,television,hogar,2026-05-18,activo
65,40,television,hogar,2024-11-07,activo
66,41,streaming_bundle,adicional,2024-04-21,activo
67,41,television,hogar,2024-10-19,suspendido
68,41,plan_empresarial,empresa,2024-04-12,activo
69,42,television,hogar,2025-05-01,activo
70,43,plan_empresarial,empresa,2026-03-09,activo
71,44,soporte_premium,servicio,2025-12-09,activo
72,44,plan_movil,movil,2025-12-11,activo
73,45,seguro_dispositivo,adicional,2024-05-06,activo
74,46,seguro_dispositivo,adicional,2025-04-03,activo
75,46,television,hogar,2024-08-15,activo
76,47,television,hogar,2025-12-23,activo
77,47,streaming_bundle,adicional,2026-05-18,activo
78,48,internet_hogar,hogar,2025-11-11,activo
79,49,plan_movil,movil,2024-08-28,activo
80,50,seguro_dispositivo,adicional,2025-06-24,activo
81,51,internet_hogar,hogar,2025-04-20,activo
82,52,plan_empresarial,empresa,2025-06-20,suspendido
83,53,plan_empresarial,empresa,2024-01-31,activo
84,54,seguro_dispositivo,adicional,2025-08-15,activo
85,55,streaming_bundle,adicional,2026-03-28,activo
86,56,soporte_premium,servicio,2026-04-05,activo
87,57,internet_hogar,hogar,2025-06-07,activo
88,57,television,hogar,2024-06-09,activo
89,58,plan_movil,movil,2025-03-05,activo
90,58,television,hogar,2024-12-14,activo
91,59,television,hogar,2024-11-04,activo
92,59,streaming_bundle,adicional,2026-05-13,cancelado
93,60,plan_empresarial,empresa,2024-08-05,activo
94,60,internet_hogar,hogar,2024-03-31,activo
95,61,seguro_dispositivo,adicional,2025-04-13,activo
96,62,internet_hogar,hogar,2025-12-29,activo
97,63,plan_movil,movil,2024-11-08,suspendido
98,64,seguro_dispositivo,adicional,2025-10-19,activo
99,65,soporte_premium,servicio,2026-03-29,activo
100,66,seguro_dispositivo,adicional,2026-01-28,activo
101,67,plan_empresarial,empresa,2024-10-20,activo
102,67,seguro_dispositivo,adicional,2025-02-12,activo
103,67,plan_movil,movil,2026-03-22,cancelado
104,68,streaming_bundle,adicional,2024-10-03,activo
105,69,television,hogar,2025-07-09,activo
106,70,soporte_premium,servicio,2024-05-18,suspendido
107,70,seguro_dispositivo,adicional,2025-07-16,activo
108,71,plan_empresarial,empresa,2025-09-22,activo
109,72,seguro_dispositivo,adicional,2025-09-14,activo
110,73,soporte_premium,servicio,2024-11-01,activo
111,73,seguro_dispositivo,adicional,2024-10-29,activo
112,74,plan_empresarial,empresa,2025-01-13,activo
113,75,plan_movil,movil,2024-10-21,activo
114,75,television,hogar,2025-01-09,activo
115,75,internet_hogar,hogar,2024-12-17,activo
116,76,soporte_premium,servicio,2025-07-27,suspendido
117,76,streaming_bundle,adicional,2026-03-28,activo
118,77,soporte_premium,servicio,2025-10-31,activo
119,77,seguro_dispositivo,adicional,2025-05-10,activo
120,78,soporte_premium,servicio,2026-02-01,suspendido
121,78,seguro_dispositivo,adicional,2024-06-21,suspendido
122,79,plan_empresarial,empresa,2026-03-10,suspendido
123,80,plan_empresarial,empresa,2026-05-26,activo
124,80,internet_hogar,hogar,2024-06-13,activo
125,81,soporte_premium,servicio,2024-04-04,activo
126,82,plan_empresarial,empresa,2025-04-08,activo
127,82,television,hogar,2026-03-03,activo
128,83,television,hogar,2026-04-06,activo
129,84,television,hogar,2024-11-06,activo
130,85,internet_hogar,hogar,2025-05-03,activo
131,85,television,hogar,2025-03-18,activo
132,86,plan_empresarial,empresa,2025-02-07,activo
133,86,streaming_bundle,adicional,2024-05-11,activo
134,86,internet_hogar,hogar,2026-03-07,activo
135,87,plan_empresarial,empresa,2025-07-30,activo
136,87,internet_hogar,hogar,2024-08-15,activo
137,88,soporte_premium,servicio,2024-12-24,activo
138,89,soporte_premium,servicio,2025-11-27,activo
139,89,streaming_bundle,adicional,2025-02-11,cancelado
140,90,internet_hogar,hogar,2024-05-06,suspendido
141,90,plan_movil,movil,2026-01-21,activo
142,90,television,hogar,2025-07-26,activo
143,91,internet_hogar,hogar,2024-07-09,suspendido
144,92,internet_hogar,hogar,2026-01-29,activo
145,93,plan_empresarial,empresa,2026-02-28,activo
146,93,plan_movil,movil,2024-08-29,activo
147,94,streaming_bundle,adicional,2024-12-15,activo
148,95,soporte_premium,servicio,2025-06-15,activo
149,95,streaming_bundle,adicional,2024-11-17,activo
150,96,seguro_dispositivo,adicional,2026-05-10,activo
151,96,internet_hogar,hogar,2026-04-22,suspendido
152,97,plan_empresarial,empresa,2025-03-25,activo
153,98,plan_empresarial,empresa,2025-02-03,activo
154,99,soporte_premium,servicio,2026-05-17,activo
155,99,plan_empresarial,empresa,2024-07-06,activo
156,100,internet_hogar,hogar,2026-05-16,activo
157,100,seguro_dispositivo,adicional,2024-09-12,activo
158,101,streaming_bundle,adicional,2025-10-17,suspendido
159,101,plan_movil,movil,2025-08-29,suspendido
160,102,streaming_bundle,adicional,2025-05-18,activo
161,102,television,hogar,2026-05-16,activo
162,102,internet_hogar,hogar,2025-01-20,activo
163,103,soporte_premium,servicio,2025-09-17,activo
164,103,internet_hogar,hogar,2024-08-20,activo
165,103,seguro_dispositivo,adicional,2025-03-05,activo
166,103,plan_empresarial,empresa,2024-10-11,activo
167,104,internet_hogar,hogar,2024-07-05,cancelado
168,104,plan_empresarial,empresa,2026-01-29,activo
169,104,television,hogar,2024-01-25,activo
170,105,internet_hogar,hogar,2025-08-18,activo
171,106,internet_hogar,hogar,2025-01-31,cancelado
172,106,streaming_bundle,adicional,2025-12-29,suspendido
173,106,soporte_premium,servicio,2026-04-07,activo
174,107,television,hogar,2025-09-09,activo
175,108,television,hogar,2025-07-09,activo
176,109,streaming_bundle,adicional,2024-09-10,activo
177,110,internet_hogar,hogar,2025-10-06,activo
178,110,plan_empresarial,empresa,2026-02-10,activo
179,111,internet_hogar,hogar,2026-05-01,activo
180,111,plan_empresarial,empresa,2025-09-19,activo
181,111,seguro_dispositivo,adicional,2025-07-21,activo
182,111,plan_movil,movil,2025-08-11,activo
183,112,streaming_bundle,adicional,2025-08-03,activo
184,113,soporte_premium,servicio,2025-07-18,activo
185,113,streaming_bundle,adicional,2026-02-27,activo
186,114,television,hogar,2024-05-12,activo
187,114,soporte_premium,servicio,2025-12-09,activo
188,115,internet_hogar,hogar,2024-01-29,activo
189,115,plan_empresarial,empresa,2025-03-02,suspendido
190,116,seguro_dispositivo,adicional,2025-03-03,activo
191,116,soporte_premium,servicio,2024-02-07,activo
192,117,plan_movil,movil,2024-05-23,activo
193,118,soporte_premium,servicio,2025-05-19,activo
194,118,seguro_dispositivo,adicional,2024-03-07,activo
195,119,soporte_premium,servicio,2024-11-08,activo
196,120,plan_movil,movil,2024-05-26,suspendido
197,121,streaming_bundle,adicional,2024-07-25,activo
198,122,streaming_bundle,adicional,2025-04-17,activo
199,123,soporte_premium,servicio,2025-05-22,activo
200,124,streaming_bundle,adicional,2024-10-27,cancelado
201,124,soporte_premium,servicio,2024-07-01,activo
202,125,television,hogar,2025-10-16,activo
203,126,plan_movil,movil,2025-04-01,activo
204,126,plan_empresarial,empresa,2025-02-23,activo
205,127,streaming_bundle,adicional,2024-12-22,activo
206,128,television,hogar,2024-04-14,activo
207,129,internet_hogar,hogar,2025-08-14,suspendido
208,130,plan_movil,movil,2026-02-18,activo
209,131,streaming_bundle,adicional,2024-11-22,activo
