orden_dia,dia_semana,franja_horaria,total_llamadas
1,lunes,madrugada,1820
1,lunes,manana,64541
1,lunes,noche,9319
1,lunes,tarde,47216
2,martes,madrugada,1933
2,martes,manana,52394
2,martes,noche,12273
2,martes,tarde,50935
3,miercoles,madrugada,1776
3,miercoles,manana,49573
3,miercoles,noche,8908
3,miercoles,tarde,46882
4,jueves,madrugada,1758
4,jueves,manana,47203
4,jueves,noche,8993
4,jueves,tarde,44909
5,viernes,madrugada,1640
5,viernes,manana,43186
5,viernes,noche,8238
5,viernes,tarde,40788
6,sabado,madrugada,1506
6,sabado,manana,29862
6,sabado,noche,6283
6,sabado,tarde,27075
7,domingo,madrugada,1212
7,domingo,manana,6557
7,domingo,noche,4055
7,domingo,tarde,7844
